Name;Unit Price;Shipping;Amount;Total Cost;Notes;Link
Case;$0,00;$0,00;1;$0,00;3D Printed in-house;No link
Keycaps;$0,00;$0,00;1;$0,00;3D Printed in-house;No link
Gateron Milky Yellow Switches;$15,46;$0,00;1;$15,46;50pcs;https://www.aliexpress.com/item/1005006425450443.html
Hotswap Sockets;$4,79;$0,00;1;$4,79;70pcs/Color: Type 1;https://www.aliexpress.com/item/1005008954571807.html
Durock Stabiliers;$2,45;$7,87;2;$12,77;Color: V3-2u Teal;https://www.aliexpress.com/item/1005002192386317.html
XIAO NRF52840 Microcontroller;$18,63;$6,11;2;$43,37;;https://www.tme.eu/ro/details/seeed-102010448
1N4148W-7-F Diodes;$0,08;$0,00;50;$4,14;They come with the microcontrollers;https://www.tme.eu/ro/en/details/1n4148w-e3-08/smd-universal-diodes/vishay/
AKY0386 Batteries;$5,32;$0,00;2;$10,64;They come with the microcontrollers;https://www.tme.eu/ro/details/aky-lp403035
PCBs;$9,90;$9,26;2;$29,06;From JLCPCB;No link
Total Cost;;;;$120,23;;
